site	label	named_by_remedy	n_s	n_r	seed	trigger	reached	remedy	outcome	remedy_usable	detail	generator	boot_samples	conf_level	r_version	glmmtmb_version	platform
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	MSE=0 near	FALSE	searle	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	MSE=0 near	FALSE	burch	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	MSE=0 near	FALSE	npbootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	MSE=0 near	FALSE	bootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	TRUE	10	2	1	SSA=0 near	FALSE	montecarlo	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	SSA=0 near	FALSE	searle	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	SSA=0 near	FALSE	burch	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	SSA=0 near	FALSE	npbootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	SSA=0 near	FALSE	bootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	TRUE	15	4	1	MSE=0 exact	TRUE	montecarlo	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
