site	label	named_by_remedy	n_s	n_r	seed	trigger	reached	remedy	outcome	remedy_usable	detail	generator	boot_samples	conf_level	r_version	glmmtmb_version	platform
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	6	3	1	MSE=0 near	TRUE	searle	unusable interval	FALSE	1,1,1,1	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	6	3	1	MSE=0 near	TRUE	burch	unusable interval	FALSE	1,1,1,1	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	6	3	1	MSE=0 near	TRUE	npbootstrap	unusable interval	FALSE	1,1,1,1	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	6	3	1	MSE=0 near	TRUE	bootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	TRUE	6	3	1	MSE=0 near	FALSE	montecarlo	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	6	3	1	MSE=0 near	FALSE	searle	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	6	3	1	MSE=0 near	FALSE	burch	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	6	3	1	MSE=0 near	FALSE	npbootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	6	3	1	MSE=0 near	FALSE	bootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	TRUE	6	3	1	MSE=0 near	FALSE	montecarlo	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	MSE=0 near	FALSE	searle	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	MSE=0 near	FALSE	burch	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	MSE=0 near	FALSE	npbootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	MSE=0 near	FALSE	bootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	TRUE	6	3	1	SSA=0 near	FALSE	montecarlo	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	SSA=0 near	FALSE	searle	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	SSA=0 near	FALSE	burch	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	SSA=0 near	FALSE	npbootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	SSA=0 near	FALSE	bootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	TRUE	10	2	1	MSE=0 exact	FALSE	montecarlo	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	10	2	1	MSE=0 exact	FALSE	searle	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	10	2	1	MSE=0 exact	FALSE	burch	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	10	2	1	MSE=0 exact	FALSE	npbootstrap	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	10	2	1	MSE=0 exact	FALSE	bootstrap	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	TRUE	10	2	1	MSE=0 exact	TRUE	montecarlo	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	10	2	1	MSE=0 exact	TRUE	searle	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	10	2	1	MSE=0 exact	TRUE	burch	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	10	2	1	MSE=0 exact	TRUE	npbootstrap	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	10	2	1	MSE=0 exact	TRUE	bootstrap	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	TRUE	10	2	1	MSE=0 exact	TRUE	montecarlo	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	MSE=0 exact	TRUE	searle	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	MSE=0 exact	TRUE	burch	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	MSE=0 exact	TRUE	npbootstrap	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	MSE=0 exact	TRUE	bootstrap	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	TRUE	10	2	1	SSA=0 exact	TRUE	montecarlo	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	SSA=0 exact	TRUE	searle	unusable interval	FALSE	-1,-Inf,-1,-Inf	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	SSA=0 exact	TRUE	burch	raw error	FALSE	unclassed	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	SSA=0 exact	TRUE	npbootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	10	2	1	SSA=0 exact	TRUE	bootstrap	usable interval	TRUE	5.539e-10,1.108e-09,0.5604,0.7179	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	TRUE	10	2	1	MSE=0 near	FALSE	montecarlo	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	10	2	1	MSE=0 near	FALSE	searle	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	10	2	1	MSE=0 near	FALSE	burch	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	10	2	1	MSE=0 near	FALSE	npbootstrap	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	10	2	1	MSE=0 near	FALSE	bootstrap	(site not reached)	NA	other condition: simpleError	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	TRUE	10	2	1	MSE=0 near	FALSE	montecarlo	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	10	2	1	MSE=0 near	FALSE	searle	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	10	2	1	MSE=0 near	FALSE	burch	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	10	2	1	MSE=0 near	FALSE	npbootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	10	2	1	MSE=0 near	FALSE	bootstrap	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	TRUE	10	2	1	MSE=0 near	FALSE	montecarlo	(site not reached)	NA	reducer returned an interval	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
