cell	rho	k	n	dist	method	n_rep	n_abort	coverage_uncond	coverage_nonabort	lo_miss	hi_miss	med_width	width_ratio_vs_mc
13	0.05	10	2	gaussian	npbootstrap	2000	0	0.9335	0.9335	0.045	0.0215	1.252843718	1.419430583
13	0.05	10	2	gaussian	searle	2000	0	0.955	0.955	0.0235	0.0215	1.136915895	1.288088186
14	0.05	10	2	t5	burch	2000	0	0.975	0.975	0.025	0	1.064713667	1.214421015
14	0.05	10	2	t5	mc	2000	889	0.4085	0.7353735374	0.2646264626	0	0.8767253319	1
14	0.05	10	2	t5	npbootstrap	2000	0	0.9365	0.9365	0.0375	0.026	1.231951462	1.405173795
14	0.05	10	2	t5	searle	2000	0	0.9525	0.9525	0.0215	0.026	1.137770851	1.297750629
15	0.05	10	2	uniform	burch	2000	0	0.967	0.967	0.033	0	1.062363297	1.209966661
15	0.05	10	2	uniform	mc	2000	914	0.3935	0.7246777164	0.2753222836	0	0.8780103878	1
15	0.05	10	2	uniform	npbootstrap	2000	0	0.928	0.928	0.042	0.03	1.230793446	1.401798274
15	0.05	10	2	uniform	searle	2000	0	0.947	0.947	0.0265	0.0265	1.139108444	1.297374677
16	0.05	10	2	chisq1	burch	2000	0	0.9695	0.9695	0.0305	0	1.059284304	1.196460768
16	0.05	10	2	chisq1	mc	2000	891	0.406	0.7321911632	0.2678088368	0	0.8853481305	1
16	0.05	10	2	chisq1	npbootstrap	2000	0	0.926	0.926	0.049	0.025	1.232571857	1.39218892
16	0.05	10	2	chisq1	searle	2000	0	0.952	0.952	0.0235	0.0245	1.140066709	1.287704429
17	0.1	10	5	gaussian	burch	2000	0	0.988	0.988	0.012	0	0.4858006112	0.7983267295
17	0.1	10	5	gaussian	mc	2000	524	0.691	0.9363143631	0.06368563686	0	0.6085235446	1
17	0.1	10	5	gaussian	npbootstrap	2000	0	0.9315	0.9315	0.035	0.0335	0.6136067586	1.008353356
17	0.1	10	5	gaussian	searle	2000	0	0.9505	0.9505	0.025	0.0245	0.5397855675	0.8870413845
18	0.1	10	5	t5	burch	2000	0	0.9805	0.9805	0.0195	0	0.4901516188	0.8155678407
18	0.1	10	5	t5	mc	2000	508	0.6935	0.9296246649	0.07037533512	0	0.6009942943	1
18	0.1	10	5	t5	npbootstrap	2000	0	0.937	0.937	0.033	0.03	0.6297402481	1.04783066
18	0.1	10	5	t5	searle	2000	0	0.939	0.939	0.0345	0.0265	0.5428184721	0.903200708
19	0.1	10	5	uniform	burch	2000	0	0.988	0.988	0.012	0	0.4857569228	0.7970582485
19	0.1	10	5	uniform	mc	2000	483	0.717	0.9452867502	0.05471324984	0	0.6094371694	1
19	0.1	10	5	uniform	npbootstrap	2000	0	0.9435	0.9435	0.0305	0.026	0.6078709585	0.99743007
19	0.1	10	5	uniform	searle	2000	0	0.9575	0.9575	0.023	0.0195	0.5409909034	0.8876893807
20	0.1	10	5	chisq1	burch	2000	0	0.968	0.968	0.032	0	0.477127867	0.7827652044
20	0.1	10	5	chisq1	mc	2000	591	0.643	0.9127040454	0.08729595458	0	0.6095414875	1
20	0.1	10	5	chisq1	npbootstrap	2000	0	0.94	0.94	0.0285	0.0315	0.638104847	1.046860403
20	0.1	10	5	chisq1	searle	2000	0	0.9215	0.9215	0.0465	0.032	0.5274778002	0.8653681678
21	0.1	30	5	gaussian	burch	2000	0	0.985	0.985	0.015	0	0.2851039575	0.8494991356
21	0.1	30	5	gaussian	mc	2000	163	0.8725	0.9499183451	0.05008165487	0	0.335614182	1
21	0.1	30	5	gaussian	npbootstrap	2000	0	0.94	0.94	0.0325	0.0275	0.2967486858	0.8841959062
21	0.1	30	5	gaussian	searle	2000	0	0.9555	0.9555	0.023	0.0215	0.2957472051	0.8812118824
22	0.1	30	5	t5	burch	2000	0	0.968	0.968	0.032	0	0.2818470071	0.8320628627
22	0.1	30	5	t5	mc	2000	209	0.834	0.9313232831	0.06867671692	0	0.3387328286	1
22	0.1	30	5	t5	npbootstrap	2000	0	0.9365	0.9365	0.0295	0.034	0.3036443131	0.8964124155
22	0.1	30	5	t5	searle	2000	0	0.929	0.929	0.0425	0.0285	0.2916887556	0.8611174676
23	0.1	30	5	uniform	burch	2000	0	0.982	0.982	0.018	0	0.2830143648	0.840299722
23	0.1	30	5	uniform	mc	2000	160	0.8795	0.9559782609	0.04402173913	0	0.336801688	1
23	0.1	30	5	uniform	npbootstrap	2000	0	0.9415	0.9415	0.0315	0.027	0.2903512707	0.8620837752
23	0.1	30	5	uniform	searle	2000	0	0.953	0.953	0.025	0.022	0.2940669363	0.8731159811
